	업종명	업소명	소재지지번	법인명	longitude	latitude	업태명	프랜차이저
41	휴게음식점	간지김밥&떡볶이	서울특별시 마포구 동교동  148번지 2호		126.9252365	37.560045200000005	기타 휴게음식점	0
42	휴게음식점	엔제리너스커피홍대역점	서울특별시 마포구 동교동  162번지 4호	롯데지알에스(주)	126.922095	37.554979700000004	커피숍	1
43	휴게음식점	박은민갤러리	서울특별시 마포구 서교동  360번지 21호		126.92374199999999	37.5506329	커피숍	0
44	휴게음식점	카페리노고산점	서울특별시 마포구 노고산동  1번지 50호		126.9421554	37.5558027	커피숍	0
45	휴게음식점	드롭탑홍대점	서울특별시 마포구 서교동  403번지 17호		126.92075929999999	37.5498154	커피숍	0
46	휴게음식점	파스쿠찌 메세나폴리스점	서울특별시 마포구 서교동  490번지		126.9177304	37.55348970000001	커피숍	1
47	휴게음식점	Jazzda카페	서울특별시 마포구 서교동  394번지 93호		126.91526359999999	37.5492064	커피숍	0
48	휴게음식점	카페네스카페홍대입구점	서울특별시 마포구 서교동  344번지 11호	씨앤에이치프리미어렌탈(주)	126.9245446	37.5531414	커피숍	0
49	휴게음식점	테일러커피	서울특별시 마포구 서교동  329번지 15호		126.9282378	37.556200700000005	커피숍	0
50	휴게음식점	이디야	서울특별시 마포구 서교동  369번지 44호		126.9215039	37.552802	커피숍	1
51	휴게음식점	워너커피	서울특별시 마포구 서교동  369번지 24호		126.92058829999999	37.5528044	커피숍	0
52	휴게음식점	더블하모니	서울특별시 마포구 서교동  479번지 4호  C&L빌딩		126.91272520000001	37.5545812	커피숍	0
53	휴게음식점	더블하모니	서울특별시 마포구 서교동  481번지 6호		126.9139057	37.5541875	커피숍	0
54	휴게음식점	공작	서울특별시 마포구 서교동  449번지 7호		126.9171087	37.557774200000004	커피숍	0
55	휴게음식점	허밍	서울특별시 마포구 서교동  332번지 14호		126.92653670000001	37.5560429	커피숍	0
56	휴게음식점	에스닉바바	서울특별시 마포구 서교동  397번지 2호		126.918232	37.54998870000001	커피숍	0
57	휴게음식점	곰미커피	서울특별시 마포구 동교동  190번지 56호  1층		126.93180500000001	37.5561312	커피숍	0
58	휴게음식점	스타벅스커피동교점	서울특별시 마포구 동교동  205번지 6호	(주)스타벅스커피코리아	126.91998390000002	37.5568085	커피숍	1
59	휴게음식점	오설록	서울특별시 마포구 서교동  358번지 53호	(주)아모레퍼시픽	126.92187129999999	37.5528305	기타 휴게음식점	0
60	휴게음식점	커피101	서울특별시 마포구 서교동  332번지 5호		126.926695	37.5558155	커피숍	0
61	휴게음식점	착한커피	서울특별시 마포구 노고산동  56번지 6호		126.9342679	37.5543757	커피숍	0
62	휴게음식점	카페다카포	서울특별시 마포구 서교동  451번지 41호		126.91547890000001	37.5564446	커피숍	0
63	휴게음식점	레시피	서울특별시 마포구 서교동  411번지 2호		126.9228057	37.5499513	커피숍	0
64	휴게음식점	상덕이커피	서울특별시 마포구 동교동  157번지 1호		126.9237952	37.557954200000005	커피숍	0
65	휴게음식점	스타벅스커피홍대역	서울특별시 마포구 동교동  159번지 1호	(주)스타벅스커피코리아	126.923603	37.5571506	커피숍	1
66	휴게음식점	에프터눈커피	서울특별시 마포구 동교동  176번지 9호		126.9275693	37.5572777	커피숍	0
67	휴게음식점	레인비	서울특별시 마포구 서교동  347번지 18호		126.92497350000001	37.5555034	커피숍	0
68	휴게음식점	아스트로노머스커피	서울특별시 마포구 동교동  154번지 29호		126.92469960000001	37.5589662	커피숍	0
69	휴게음식점	바빈스커피홍대역점	서울특별시 마포구 동교동  201번지 53호		126.92180490000001	37.557050399999994	커피숍	0
70	휴게음식점	폴인	서울특별시 마포구 서교동  342번지 11호  파티오 2층		126.92474550000001	37.55372620000001	커피숍	0
71	휴게음식점	좋은자리 갤러리 cafe	서울특별시 마포구 서교동  448번지 25호		126.91872620000001	37.5565158	커피숍	0
72	휴게음식점	오지모리	서울특별시 마포구 서교동  342번지 12호		126.924485	37.553662599999996	커피숍	0
73	휴게음식점	어반인	서울특별시 마포구 서교동  445번지 3호		126.91992409999999	37.55617	커피숍	0
74	휴게음식점	투썸플레이스	서울특별시 마포구 서교동  476번지 21호  1층		126.911507	37.554843	커피숍	1
75	휴게음식점	미쇼콜라	서울특별시 마포구 서교동  459번지 2호  1층		126.9155449	37.5558794	커피숍	0
76	휴게음식점	브레댄코카페	서울특별시 마포구 서교동  346번지 34호  23층		126.9238379	37.5549812	커피숍	0
77	휴게음식점	빙빙빙차웅가	서울특별시 마포구 서교동  367번지 31호  가동 1층일부		126.92070279999999	37.55138	커피숍	0
78	휴게음식점	하우스가든카페제인(House garden cafe Jane)	서울특별시 마포구 서교동  364번지 29호		126.922274	37.5519061	커피숍	0
79	휴게음식점	블랙바리스타	서울특별시 마포구 동교동  170번지 29호  1층		126.92631999999999	37.5569456	커피숍	0
80	휴게음식점	컴바이코리아	서울특별시 마포구 동교동  165번지 8호  LG팰리스빌딩-106	(주)컴바이코리아	126.9234453	37.5560805	커피숍	0
81	휴게음식점	반지더하기홍대점	서울특별시 마포구 서교동  333번지 7호  2층일부		126.9261585	37.55479329999999	커피숍	0
82	휴게음식점	나른한순간 Idle moments	서울특별시 마포구 서교동  467번지 2호  2층일부(1호)		126.9153209	37.555088899999994	커피숍	0
