index,hour,dong,성별,인구,유출입인구
0,0,공덕동,female,8359.776753254353,120.60529183843755
1,0,공덕동,male,7549.914762802597,129.02449443540445
2,0,당산1동,female,4960.996612993261,84.5484638241569
3,0,당산1동,male,5268.878628206363,271.25214446817427
4,0,당산2동,female,6869.69812723301,208.290937148573
5,0,당산2동,male,6887.2413372758865,468.6636912660015
6,0,대림1동,female,3485.9159877735765,10.977917966566565
7,0,대림1동,male,3437.974559298395,-2.9392314181427537
8,0,대림2동,female,3227.7980626298267,43.66465153097988
9,0,대림2동,male,3158.3286165433774,66.36424497743383
10,0,대림3동,female,4728.488854766872,95.15416973629453
11,0,대림3동,male,4746.378735043028,160.10181609972915
12,0,대흥동,female,5092.23841935104,45.03383628199026
13,0,대흥동,male,5072.456429489634,89.51764765365897
14,0,도림동,female,3717.054627326164,44.886438332951
15,0,도림동,male,3726.6425669482423,23.453683569358873
16,0,도화동,female,5292.798685442653,137.86415605276034
17,0,도화동,male,4848.759526602206,287.7764146196587
18,0,망원1동,female,5897.905087476088,36.070802525863655
19,0,망원1동,male,5339.2874150876005,211.84019616897422
20,0,망원2동,female,4367.698022875917,48.71097284231746
21,0,망원2동,male,4001.86841228621,96.01571505903757
22,0,문래동,female,7553.3255938784805,41.70950192687451
23,0,문래동,male,7619.643707558645,100.8847998912197
24,0,상암동,female,7811.877814878125,301.6876965323072
25,0,상암동,male,7743.659075377223,404.24859307343104
26,0,서강동,female,5911.330832016673,126.07871559162959
27,0,서강동,male,5865.478139560664,226.13821351901333
28,0,서교동,female,11307.732949124365,1253.0907830180186
29,0,서교동,male,12913.10994394475,2277.6504394540952
30,0,성산1동,female,4214.3486873610145,19.137768985040566
31,0,성산1동,male,3772.1674600372216,10.296859102381859
32,0,성산2동,female,8629.221202262912,106.78164365688099
33,0,성산2동,male,7547.432369719627,16.463484226310356
34,0,신길1동,female,3474.010405077295,25.628548622722064
35,0,신길1동,male,3608.216643254553,38.24751248915345
36,0,신길3동,female,3299.1002847044865,63.58061000830003
37,0,신길3동,male,3210.7524974948346,-27.185730618130037
38,0,신길4동,female,1748.1358113464103,13.856924291115547
39,0,신길4동,male,1737.7197491798004,-0.09476022094554537
40,0,신길5동,female,1944.2803586645823,28.132951099752972
41,0,신길5동,male,1912.372754915463,15.726392711416565
42,0,신길6동,female,4243.320499501773,46.46028556376314
43,0,신길6동,male,4109.4026318834685,64.51270328606415
44,0,신길7동,female,3621.416554563577,70.00131603088766
45,0,신길7동,male,3652.8390235303696,44.09308919181149
46,0,신수동,female,3282.5223836852597,41.238679252197926
47,0,신수동,male,3190.2607436205108,26.603826699688398
48,0,아현동,female,5297.033748531964,8.677946353722291
49,0,아현동,male,4805.363378518714,64.74490650998632
50,0,양평1동,female,3579.009830572701,-32.49451034368349
51,0,양평1동,male,3676.5775569622174,-19.33403736036462
52,0,양평2동,female,5292.892601620511,6.89718479541807
53,0,양평2동,male,5711.969975186463,230.4563613363689
54,0,여의동,female,10116.940859115768,207.05590890059284
55,0,여의동,male,11469.932948308035,1217.2371011600353
56,0,연남동,female,2789.4230938354303,86.13463208437724
57,0,연남동,male,2550.045160410578,80.98883170492718
58,0,염리동,female,2470.4639995065254,13.156525730766589
59,0,염리동,male,2278.1698654533343,-1.7649544820569645
60,0,영등포동,female,8122.004515845223,234.8090483257547
61,0,영등포동,male,9745.376092183968,713.7319399182488
62,0,영등포본동,female,3681.9781468398874,19.231097360737294
63,0,영등포본동,male,3965.7023875623668,104.76819665431412
64,0,용강동,female,4716.6682509334205,158.96518766090867
65,0,용강동,male,4569.501609680555,210.08665417071825
66,0,합정동,female,4742.864035272152,157.10466359605743
67,0,합정동,male,4609.349825039997,347.4626768045
68,1,공덕동,female,8319.414073352806,80.24261193689017
69,1,공덕동,male,7488.563329522831,67.6730611556386
70,1,당산1동,female,4936.237830930522,59.78968176141825
71,1,당산1동,male,5133.954934228652,136.32845049046318
72,1,당산2동,female,6774.998399813896,113.59120972945857
73,1,당산2동,male,6678.387189970529,259.8095439606441
74,1,대림1동,female,3498.113998653368,23.175928846358147
75,1,대림1동,male,3471.8045131754466,30.89072245890884
76,1,대림2동,female,3225.684358319563,41.55094722071635
77,1,대림2동,male,3176.5481174521124,84.5837458861688
78,1,대림3동,female,4752.009827608169,118.67514257759194
79,1,대림3동,male,4728.549314914434,142.27239597113476
80,1,대흥동,female,5086.996302825533,39.79171975648387
81,1,대흥동,male,5006.3870488385,23.448267002525427
82,1,도림동,female,3714.4177813151114,42.24959232189849
83,1,도림동,male,3747.551167261923,44.36228388303971
84,1,도화동,female,5250.452577620403,95.51804823051043
85,1,도화동,male,4716.2900443510625,155.30693236851494
86,1,망원1동,female,5958.6316934464985,96.79740849627433
87,1,망원1동,male,5310.964295481029,183.5170765624025
88,1,망원2동,female,4370.545545330786,51.55849529718671
89,1,망원2동,male,3969.6224700344233,63.769772807250774
90,1,문래동,female,7523.535913628094,11.919821676488027
91,1,문래동,male,7543.699324598514,24.940416931089203
92,1,상암동,female,7649.171952400092,138.98183405427426
93,1,상암동,male,7541.579138328155,202.16865602436246
94,1,서강동,female,5879.953660817317,94.70154439227281
95,1,서강동,male,5868.934132344824,229.59420630317345
96,1,서교동,female,10721.561101149737,666.9189350433899
97,1,서교동,male,12041.613369371968,1406.153864881313
98,1,성산1동,female,4251.159556118627,55.94863774265286
99,1,성산1동,male,3788.342099377579,26.471498442739176
100,1,성산2동,female,8606.301092114198,83.86153350816676
101,1,성산2동,male,7519.7335829581725,-11.235302535144001
102,1,신길1동,female,3452.3140673127245,3.932210858151393
103,1,신길1동,male,3627.1157552517384,57.146624486338624
104,1,신길3동,female,3295.6424423701146,60.12276767392814
105,1,신길3동,male,3217.408669722638,-20.529558390326656
106,1,신길4동,female,1756.3541356863911,22.07524863109643
107,1,신길4동,male,1738.3370002780048,0.5224908772588606
108,1,신길5동,female,1940.2016151555017,24.054207590672377
109,1,신길5동,male,1931.3658874083526,34.71952520430614
110,1,신길6동,female,4230.8442296396515,33.98401570164151
111,1,신길6동,male,4108.1814436034865,63.291515006082136
112,1,신길7동,female,3583.7306530018586,32.315414469169355
113,1,신길7동,male,3675.156135367369,66.41020102881112
114,1,신수동,female,3253.6825572754565,12.398852842394717
115,1,신수동,male,3206.916301029811,43.2593841089888
116,1,아현동,female,5308.653304331984,20.297502153742244
117,1,아현동,male,4770.525707767558,29.90723575883021
118,1,양평1동,female,3564.3338126221574,-47.1705282942271
119,1,양평1동,male,3691.3157383113944,-4.595856011187607
120,1,양평2동,female,5284.709878628312,-1.28553819678109
121,1,양평2동,male,5611.131199574401,129.617585724307
122,1,여의동,female,9845.894768309949,-63.990181905226564
123,1,여의동,male,10871.22682189739,618.5309747493902
124,1,연남동,female,2750.9115926074737,47.62313085642063
125,1,연남동,male,2494.488943936691,25.432615231040472
126,1,염리동,female,2464.855709514457,7.5482357386981676
127,1,염리동,male,2281.9434695496807,2.008649614289425
128,1,영등포동,female,7992.063113210351,104.86764569088245
129,1,영등포동,male,9511.178531689962,479.5343794242435
130,1,영등포본동,female,3655.024479672982,-7.7225698061679395
131,1,영등포본동,male,3948.425112190172,87.49092128211942
132,1,용강동,female,4692.302529642079,134.59946636956738
133,1,용강동,male,4491.330703225488,131.91574771565138
134,1,합정동,female,4699.924346255659,114.16497457956393
135,1,합정동,male,4489.874376445673,227.987228210176
136,2,공덕동,female,8354.434818248339,115.2633568324236
137,2,공덕동,male,7481.042185412349,60.15191704515655
138,2,당산1동,female,4910.745874115904,34.29772494680037
139,2,당산1동,male,5073.571023614228,75.94453987603902
140,2,당산2동,female,6727.269190659338,65.86200057490078
141,2,당산2동,male,6532.632834505271,114.05518849538566
142,2,대림1동,female,3506.9138676665384,31.975797859528484
143,2,대림1동,male,3503.8173221040247,62.903531387486964
144,2,대림2동,female,3202.032402391436,17.898991292589017
145,2,대림2동,male,3137.1211807620966,45.15680919615306
146,2,대림3동,female,4704.52291473877,71.18822970819292
147,2,대림3동,male,4726.728384847211,140.4514659039114
148,2,대흥동,female,5082.301808603174,35.097225534124846
149,2,대흥동,male,4961.850302834077,-21.088479001897213
150,2,도림동,female,3729.8781179502803,57.709928957067405
151,2,도림동,male,3755.211166862068,52.02228348318431
152,2,도화동,female,5220.299109991025,65.36458060113273
153,2,도화동,male,4672.097933085319,111.1148211027712
154,2,망원1동,female,5901.668261383721,39.8339764334969
155,2,망원1동,male,5180.292230109779,52.84501119115248
156,2,망원2동,female,4365.117348184115,46.130298150515955
157,2,망원2동,male,3958.351230575356,52.49853334818363
158,2,문래동,female,7530.906904256223,19.290812304617248
159,2,문래동,male,7534.621340408861,15.86243274143635
160,2,상암동,female,7575.873484876032,65.6833665302147
161,2,상암동,male,7424.998888507781,85.5884062039886
162,2,서강동,female,5841.099899956029,55.847783530985
163,2,서강동,male,5761.246512398079,121.9065863564283
164,2,서교동,female,10428.462578401648,373.82041229530114
165,2,서교동,male,11524.882248564669,889.4227440740142
166,2,성산1동,female,4227.751776512814,32.54085813684014
167,2,성산1동,male,3791.596663813257,29.726062878416997
168,2,성산2동,female,8604.169690306273,81.73013170024205
169,2,성산2동,male,7528.203253298486,-2.765632194830687
170,2,신길1동,female,3450.800955603582,2.419099149009071
171,2,신길1동,male,3614.379995976696,44.41086521129637
172,2,신길3동,female,3296.279509563491,60.75983486730456
173,2,신길3동,male,3232.177393711333,-5.760834401631655
174,2,신길4동,female,1742.3304671791122,8.05158012381753
175,2,신길4동,male,1747.7323029222734,9.917793521527528
176,2,신길5동,female,1939.290508896915,23.143101332085735
177,2,신길5동,male,1902.8858003517291,6.239438147682677
178,2,신길6동,female,4236.420210558983,39.559996620972925
179,2,신길6동,male,4093.304172745308,48.414244147903446
180,2,신길7동,female,3602.1907546166153,50.77551608392605
181,2,신길7동,male,3658.0115047037266,49.265570365168514
182,2,신수동,female,3243.4070849235454,2.123380490483669
183,2,신수동,male,3194.4058514910107,30.74893457018834
184,2,아현동,female,5285.98615014013,-2.3696520381117807
185,2,아현동,male,4768.975361296953,28.35688928822583
186,2,양평1동,female,3590.8084288522596,-20.69591206412497
187,2,양평1동,male,3677.7407984893407,-18.1707958332413
188,2,양평2동,female,5236.725286127855,-49.27013069723853
189,2,양평2동,male,5556.654401906337,75.14078805624285
190,2,여의동,female,9581.280094035634,-328.60485617954146
191,2,여의동,male,10407.473821733209,154.77797458520945
192,2,연남동,female,2730.290224138175,27.001762387121744
193,2,연남동,male,2477.3103559592705,8.254027253619824
194,2,염리동,female,2477.8500295315325,20.54255575577372
195,2,염리동,male,2287.3123490744997,7.3775291391084465
196,2,영등포동,female,7907.620476469605,20.425008950136544
197,2,영등포동,male,9246.015642648086,214.37149038236748
198,2,영등포본동,female,3642.607917073484,-20.13913240566626
199,2,영등포본동,male,3935.887834964457,74.9536440564043
200,2,용강동,female,4649.339795923624,91.63673265111174
201,2,용강동,male,4461.512537208678,102.09758169884117
202,2,합정동,female,4702.328299153299,116.56892747720394
203,2,합정동,male,4349.9674689216745,88.0803206861774
204,3,공덕동,female,8325.479385144023,86.3079237281072
205,3,공덕동,male,7413.89618575703,-6.994082610161968
206,3,당산1동,female,4846.455766340852,-29.99238282825172
207,3,당산1동,male,4979.161363933987,-18.465119804202004
208,3,당산2동,female,6666.394482369056,4.9872922846188885
209,3,당산2동,male,6425.16382151751,6.58617550762483
210,3,대림1동,female,3493.2797530019852,18.341683194975303
211,3,대림1동,male,3481.9328544766777,41.01906376013994
212,3,대림2동,female,3209.971455345452,25.838044246605023
213,3,대림2동,male,3110.8720652943884,18.907693728444883
214,3,대림3동,female,4684.727499700288,51.39281466971079
215,3,대림3동,male,4639.54255030211,53.265631358810424
216,3,대흥동,female,5080.719754687179,33.5151716181299
217,3,대흥동,male,5019.133508889361,36.19472705338649
218,3,도림동,female,3714.2146596509347,42.046470657721784
219,3,도림동,male,3741.9996567795633,38.810773400679864
220,3,도화동,female,5189.447998733688,34.513469343795805
221,3,도화동,male,4598.020711596552,37.03759961400465
222,3,망원1동,female,5864.2005560621665,2.3662711119422966
223,3,망원1동,male,5214.544246794229,87.09702787560309
224,3,망원2동,female,4355.198288651373,36.21123861777414
225,3,망원2동,male,3958.511085266645,52.65838803947236
226,3,문래동,female,7525.6203931035825,14.004301151976506
227,3,문래동,male,7525.686835632127,6.927927964702576
228,3,상암동,female,7521.078716651786,10.888598305968117
229,3,상암동,male,7363.151833873281,23.74135156948887
230,3,서강동,female,5814.549717842765,29.297601417721125
231,3,서강동,male,5706.667230712044,67.32730467039346
232,3,서교동,female,10206.053367868815,151.4112017624684
233,3,서교동,male,10915.142968784865,279.68346429421035
234,3,성산1동,female,4214.351788628743,19.140870252768764
235,3,성산1동,male,3778.8398247420278,16.969223807187973
236,3,성산2동,female,8567.351213505297,44.91165489926607
237,3,성산2동,male,7536.22830106861,5.259415575293133
238,3,신길1동,female,3423.9020077817795,-24.47984867279365
239,3,신길1동,male,3583.429582109783,13.460451344383273
240,3,신길3동,female,3280.5811878706036,45.06151317441709
241,3,신길3동,male,3235.7251795215598,-2.213048591404913
242,3,신길4동,female,1737.3301021577986,3.0512151025038747
243,3,신길4동,male,1748.9692416342946,11.154732233548657
244,3,신길5동,female,1937.3570925018666,21.20968493703731
245,3,신길5동,male,1904.624746377196,7.978384173149607
246,3,신길6동,female,4198.034761115913,1.1745471779031504
247,3,신길6동,male,4057.7969583237186,12.90702972631425
248,3,신길7동,female,3573.2384853208237,21.823246788134384
249,3,신길7동,male,3644.8209410708246,36.0750067322665
250,3,신수동,female,3255.4377249647832,14.154020531721471
251,3,신수동,male,3225.246996524972,61.59007960414965
252,3,아현동,female,5279.5594798097945,-8.796322368447363
253,3,아현동,male,4719.14236773289,-21.476104275837315
254,3,양평1동,female,3575.2559965715977,-36.2483443447868
255,3,양평1동,male,3648.7134582553476,-47.19813606723437
256,3,양평2동,female,5216.704776157228,-69.29064066786577
257,3,양평2동,male,5470.275958507951,-11.237655342142716
258,3,여의동,female,9505.08530485398,-404.79964536119587
259,3,여의동,male,10151.769877383413,-100.92596976458663
260,3,연남동,female,2738.106928103927,34.81846635287411
261,3,연남동,male,2451.1420439034873,-17.914284802163365
262,3,염리동,female,2474.5074730304036,17.19999925464481
263,3,염리동,male,2305.137378466503,25.202558531111663
264,3,영등포동,female,7825.453260533807,-61.74220698566114
265,3,영등포동,male,9086.833569468074,55.18941720235489
266,3,영등포본동,female,3616.3536210982606,-46.39342838088942
267,3,영등포본동,male,3891.1747088872407,30.2405179791881
268,3,용강동,female,4593.081159106286,35.37809583377384
269,3,용강동,male,4400.431855125358,41.01689961552165
270,3,합정동,female,4638.418560698426,52.65918902233079
271,3,합정동,male,4284.560775345828,22.673627110330926
272,4,공덕동,female,8239.171461415915,0.0
273,4,공덕동,male,7420.890268367192,0.0
274,4,당산1동,female,4876.448149169104,0.0
275,4,당산1동,male,4997.626483738189,0.0
276,4,당산2동,female,6661.407190084437,0.0
277,4,당산2동,male,6418.577646009885,0.0
278,4,대림1동,female,3474.93806980701,0.0
279,4,대림1동,male,3440.9137907165377,0.0
280,4,대림2동,female,3184.133411098847,0.0
281,4,대림2동,male,3091.9643715659436,0.0
282,4,대림3동,female,4633.334685030577,0.0
283,4,대림3동,male,4586.276918943299,0.0
284,4,대흥동,female,5047.2045830690495,0.0
285,4,대흥동,male,4982.938781835975,0.0
286,4,도림동,female,3672.168188993213,0.0
287,4,도림동,male,3703.1888833788835,0.0
288,4,도화동,female,5154.934529389892,0.0
289,4,도화동,male,4560.983111982548,0.0
290,4,망원1동,female,5861.834284950224,0.0
291,4,망원1동,male,5127.447218918626,0.0
292,4,망원2동,female,4318.987050033599,0.0
293,4,망원2동,male,3905.8526972271725,0.0
294,4,문래동,female,7511.616091951606,0.0
295,4,문래동,male,7518.758907667425,0.0
296,4,상암동,female,7510.190118345818,0.0
297,4,상암동,male,7339.410482303792,0.0
298,4,서강동,female,5785.252116425044,0.0
299,4,서강동,male,5639.339926041651,0.0
300,4,서교동,female,10054.642166106347,0.0
301,4,서교동,male,10635.459504490655,0.0
302,4,성산1동,female,4195.210918375974,0.0
303,4,성산1동,male,3761.87060093484,0.0
304,4,성산2동,female,8522.439558606031,0.0
305,4,성산2동,male,7530.9688854933165,0.0
306,4,신길1동,female,3448.381856454573,0.0
307,4,신길1동,male,3569.9691307653998,0.0
308,4,신길3동,female,3235.5196746961865,0.0
309,4,신길3동,male,3237.9382281129647,0.0
310,4,신길4동,female,1734.2788870552947,0.0
311,4,신길4동,male,1737.814509400746,0.0
312,4,신길5동,female,1916.1474075648293,0.0
313,4,신길5동,male,1896.6463622040465,0.0
314,4,신길6동,female,4196.86021393801,0.0
315,4,신길6동,male,4044.8899285974044,0.0
316,4,신길7동,female,3551.4152385326893,0.0
317,4,신길7동,male,3608.745934338558,0.0
318,4,신수동,female,3241.2837044330618,0.0
319,4,신수동,male,3163.6569169208224,0.0
320,4,아현동,female,5288.355802178242,0.0
321,4,아현동,male,4740.618472008728,0.0
322,4,양평1동,female,3611.5043409163845,0.0
323,4,양평1동,male,3695.911594322582,0.0
324,4,양평2동,female,5285.995416825093,0.0
325,4,양평2동,male,5481.513613850094,0.0
326,4,여의동,female,9909.884950215175,0.0
327,4,여의동,male,10252.695847148,0.0
328,4,연남동,female,2703.288461751053,0.0
329,4,연남동,male,2469.0563287056507,0.0
330,4,염리동,female,2457.307473775759,0.0
331,4,염리동,male,2279.9348199353913,0.0
332,4,영등포동,female,7887.195467519468,0.0
333,4,영등포동,male,9031.644152265719,0.0
334,4,영등포본동,female,3662.74704947915,0.0
335,4,영등포본동,male,3860.9341909080526,0.0
336,4,용강동,female,4557.703063272512,0.0
337,4,용강동,male,4359.414955509837,0.0
338,4,합정동,female,4585.759371676095,0.0
339,4,합정동,male,4261.887148235497,0.0
340,5,공덕동,female,8188.595775168903,-50.57568624701253
341,5,공덕동,male,7398.752642014543,-22.137626352649022
342,5,당산1동,female,4921.048905198873,44.6007560297694
343,5,당산1동,male,5073.01742002404,75.39093628585124
344,5,당산2동,female,6785.460631127243,124.05344104280539
345,5,당산2동,male,6706.9903660703985,288.4127200605135
346,5,대림1동,female,3423.5374291261546,-51.400640680855304
347,5,대림1동,male,3350.1885854789202,-90.7252052376175
348,5,대림2동,female,3163.7292342657033,-20.404176833143538
349,5,대림2동,male,3068.6894653181994,-23.274906247744184
350,5,대림3동,female,4564.2850089387675,-69.04967609180949
351,5,대림3동,male,4534.062676550051,-52.21424239324824
352,5,대흥동,female,5122.975404038579,75.77082096952927
353,5,대흥동,male,5182.8681602102615,199.9293783742869
354,5,도림동,female,3619.1777571497914,-52.99043184342145
355,5,도림동,male,3609.946454594266,-93.24242878461746
356,5,도화동,female,5180.320329916014,25.385800526121784
357,5,도화동,male,4585.825072206784,24.841960224236573
358,5,망원1동,female,5771.818359976568,-90.01592497365618
359,5,망원1동,male,5141.307492792266,13.860273873639926
360,5,망원2동,female,4237.728535160217,-81.25851487338241
361,5,망원2동,male,3900.4434496619515,-5.409247565220994
362,5,문래동,female,7548.117263984005,36.501172032399154
363,5,문래동,male,7548.760439221159,30.001531553733912
364,5,상암동,female,7708.901505888226,198.71138754240837
365,5,상암동,male,7649.963147707583,310.55266540379034
366,5,서강동,female,5730.655234916659,-54.596881508385195
367,5,서강동,male,5641.017000678951,1.677074637300393
368,5,서교동,female,10026.966670177137,-27.67549592921023
369,5,서교동,male,10704.215061459809,68.75555696915399
370,5,성산1동,female,4167.44768131086,-27.76323706511357
371,5,성산1동,male,3735.7042550171705,-26.166345917669332
372,5,성산2동,female,8497.929693231014,-24.509865375017398
373,5,성산2동,male,7671.19134046715,140.22245497383392
374,5,신길1동,female,3478.644214026891,30.262357572317796
375,5,신길1동,male,3597.4886830010573,27.519552235657557
376,5,신길3동,female,3167.3028350851296,-68.21683961105691
377,5,신길3동,male,3115.6958500364626,-122.24237807650206
378,5,신길4동,female,1688.7966600149393,-45.48222704035538
379,5,신길4동,male,1694.5843292205109,-43.23018018023504
380,5,신길5동,female,1902.0121180927179,-14.13528947211148
381,5,신길5동,male,1868.7024492711505,-27.943912932895955
382,5,신길6동,female,4207.873559691456,11.01334575344572
383,5,신길6동,male,4022.8298299029775,-22.06009869442687
384,5,신길7동,female,3559.333306601581,7.918068068891898
385,5,신길7동,male,3620.9096464509107,12.163712112352641
386,5,신수동,female,3199.960997758421,-41.32270667464081
387,5,신수동,male,3156.7624470746955,-6.894469846126867
388,5,아현동,female,5292.519853932504,4.164051754261891
389,5,아현동,male,4774.569422651215,33.95095064248744
390,5,양평1동,female,3589.6325176791274,-21.871823237257104
391,5,양평1동,male,3709.3785502624073,13.466955939825311
392,5,양평2동,female,5343.69025721617,57.69484039107647
393,5,양평2동,male,5747.211200871971,265.69758702187755
394,5,여의동,female,10464.910426909026,555.0254766938506
395,5,여의동,male,11113.652348193495,860.9565010454953
396,5,연남동,female,2689.0040650616806,-14.284396689372443
397,5,연남동,male,2446.3019757878283,-22.754352917822416
398,5,염리동,female,2452.599276468298,-4.708197307460978
399,5,염리동,male,2277.221815877428,-2.7130040579631896
400,5,영등포동,female,7920.864605167729,33.6691376482604
401,5,영등포동,male,9412.44713840562,380.8029861399009
402,5,영등포본동,female,3643.591035759119,-19.156013720030842
403,5,영등포본동,male,3913.507205440978,52.5730145329253
404,5,용강동,female,4554.438955491393,-3.2641077811185824
405,5,용강동,male,4376.4904450608055,17.075489550968996
406,5,합정동,female,4599.6508046802,13.891433004105238
407,5,합정동,male,4339.840227894473,77.9530796589761
408,6,공덕동,female,8186.756783153862,-52.41467826205371
409,6,공덕동,male,7396.632924182868,-24.25734418432421
410,6,당산1동,female,5002.950166817225,126.50201764812118
411,6,당산1동,male,5288.607143095694,290.9806593575049
412,6,당산2동,female,7017.711277280259,356.3040871958219
413,6,당산2동,male,7204.703432178871,786.1257861689855
414,6,대림1동,female,3410.352461902769,-64.58560790424099
415,6,대림1동,male,3222.2012260580123,-218.71256465852548
416,6,대림2동,female,3133.9882275536625,-50.14518354518441
417,6,대림2동,male,3124.892159295671,32.92778772972724
418,6,대림3동,female,4524.780122877025,-108.55456215355207
419,6,대림3동,male,4481.426229016095,-104.85068992720426
420,6,대흥동,female,5220.719735491793,173.51515242274309
421,6,대흥동,male,5373.325310634013,390.38652879803794
