	업종명	업소명	소재지지번	법인명	longitude	latitude	업태명	프랜차이저
59	휴게음식점	다정다감	서울특별시 영등포구 여의도동  26번지 4호		126.92457309999999	37.522476700000006	커피숍	0
60	휴게음식점	이디야커피여의도농협재단빌딩점	서울특별시 영등포구 여의도동  34번지 7호  농협재단빌딩 중1층		126.930031	37.5219838	커피숍	1
61	휴게음식점	나이스인프라주식회사	서울특별시 영등포구 여의도동  15번지 28호  1층	나이스인프라주식회사	126.91871699999999	37.52949100000001	커피숍	0
62	휴게음식점	파스쿠찌여의도영풍문고IFC점	서울특별시 영등포구 여의도동  23번지  영풍문고내지하 215호일부		126.92582730000001	37.5259791	커피숍	1
63	휴게음식점	투썸플레이스여의도씨지브이	서울특별시 영등포구 여의도동  23번지 1호  국제금융센터 B3F	씨제이씨지브이 주식회사	126.92616709999999	37.525472799999996	커피숍	1
64	휴게음식점	쿰파(KUMFA)공익카페파구스케이비(KB)엔젤맘	서울특별시 영등포구 여의도동  10번지  세우빌딩 지하1층일부	한국미혼모가족협회	126.92628119999999	37.530010600000004	커피숍	0
65	휴게음식점	카페말로여의3호점	서울특별시 영등포구 여의도동  34번지  1층일부	주식회사 아이씨엔풀서비스	126.928844	37.522136200000006	커피숍	0
66	휴게음식점	씨앤아이(C&I)	서울특별시 영등포구 여의도동  44번지 12호  고려빌딩-105		126.93111429999999	37.5195119	커피숍	0
67	휴게음식점	클라우드카페CLOUD CAFE	서울특별시 영등포구 여의도동  45번지 1호  SK증권빌딩 14층	주식회사 애니원에프앤씨	126.9279114	37.5198765	커피숍	0
68	휴게음식점	카페파스쿠치	서울특별시 영등포구 여의도동  14번지 15호  안원빌딩 1층	주식회사 인클러썸	126.9213928	37.5285662	커피숍	1
69	휴게음식점	투썸플레이스	서울특별시 영등포구 여의도동  24번지  한주빌딩 1층 북동측 일부		126.9268368	37.5246223	커피숍	1
70	휴게음식점	티타임	서울특별시 영등포구 여의도동  18번지  KBS신관 1층일부	주식회사 엘에스씨푸드	126.9164678	37.52561430000001	커피숍	0
71	휴게음식점	카페제이비블루(Cafe JB blue)	서울특별시 영등포구 여의도동  24번지 4호  JB우리캐피탈빌딩 1층	제이비식품(주)	126.92737179999999	37.5240619	커피숍	0
72	휴게음식점	그릴드치즈	서울특별시 영등포구 여의도동  53번지 2호  행진빌딩 별관2층 202호		126.93295990000001	37.5189405	커피숍	0
