	업종명	업소명	소재지지번	법인명	longitude	latitude	업태명
0	휴게음식점	대하	서울특별시 마포구 서교동  449번지 35호  지하1층		126.9180867	37.5579237	다방
1	휴게음식점	에스파냐	서울특별시 마포구 서교동  344번지 13호		126.9241424	37.5531666	다방
2	휴게음식점	커피빈코리아 홍대역점	서울특별시 마포구 동교동  163번지 12호	(주)커피빈코리아	126.9232406	37.5554353	커피숍
3	휴게음식점	커피빈코리아 홍대역점	서울특별시 마포구 동교동  163번지 12호  2층 3층	(주)커피빈코리아	126.9224746	37.5548733	커피숍
4	휴게음식점	엘라와루이	서울특별시 마포구 서교동  347번지 14호  1층		126.9159346	37.5582725	커피숍
5	휴게음식점	청안사주와 문경타로점 사주카페	서울특별시 마포구 서교동  346번지 42호  3층		126.9239055	37.5553972	커피숍
6	휴게음식점	피피커피두번째이야기	서울특별시 마포구 서교동  444번지 9호  1층 104호		126.9124739	37.5528696	커피숍
7	휴게음식점	커피와사람들	서울특별시 마포구 동교동  168번지 3호  1 2층		126.9264168	37.5572969	커피숍
8	휴게음식점	위드커피	서울특별시 마포구 동교동  169번지 17호  12층		126.9253059	37.5566309	커피숍
9	휴게음식점	스타벅스홍대갤러리점	서울특별시 마포구 서교동  343번지 10호  1층 2층	(주) 스타벅스커피코리아	126.925688	37.553433	커피숍
10	휴게음식점	스타벅스홍대갤러리점	서울특별시 마포구 서교동  343번지 10호  1층 2층	(주) 스타벅스커피코리아	126.925688	37.553433	커피숍
11	휴게음식점	탐앤탐스홍대파크점	서울특별시 마포구 서교동  363번지 16호  태성빌딩	(주)탐앤탐스	126.9214755	37.550869	커피숍
12	휴게음식점	탐앤탐스홍대파크점	서울특별시 마포구 서교동  363번지 16호  234층	(주)탐앤탐스	126.9216226	37.5509298	커피숍
13	휴게음식점	카페미아미고(CAFE MIAMIGO)	서울특별시 마포구 서교동  465번지 6호  자운빌딩 1층일부	(주)민트렌드	126.9211422	37.549647	커피숍
14	휴게음식점	카페미아미고(CAFE MIAMIGO)	서울특별시 마포구 서교동  465번지 6호  자운빌딩 1층일부	(주)민트렌드	126.9211422	37.549647	커피숍
15	휴게음식점	베이글카페(마포서교점)	서울특별시 마포구 서교동  449번지 21호		126.9171923	37.5576272	커피숍
16	휴게음식점	카페자스	서울특별시 마포구 동교동  198번지 8호  1층좌측		126.9232677	37.5589775	커피숍
17	휴게음식점	카페자스	서울특별시 마포구 동교동  198번지 8호  1층좌측		126.9232677	37.5589775	커피숍
18	휴게음식점	수다	서울특별시 마포구 서교동  342번지 1호  1층우측		126.9262405	37.5538903	커피숍
19	휴게음식점	수다	서울특별시 마포구 서교동  342번지 1호  1층우측		126.9262405	37.5538903	커피숍
20	휴게음식점	수다	서울특별시 마포구 서교동  342번지 1호  1층우측		126.9262405	37.5538903	커피숍
21	휴게음식점	까페 노아	서울특별시 마포구 서교동  364번지 26호  1층		126.9221149	37.5521822	커피숍
22	휴게음식점	커피랩	서울특별시 마포구 서교동  358번지 104호  1층-5		126.9231056	37.5524679	커피숍
23	휴게음식점	테크아웃	서울특별시 마포구 동교동  161번지 10호  1층		126.921904	37.5562998	커피숍
24	휴게음식점	빈스커피	서울특별시 마포구 서교동  247번지 20호  1층		126.9172759	37.558347	커피숍
25	휴게음식점	노리터	서울특별시 마포구 서교동  345번지 19호		126.9231548	37.5545578	커피숍
26	휴게음식점	이디야(홍대청기와점)	서울특별시 마포구 서교동  351번지 5호  1층		126.9205503	37.5552837	커피숍
27	휴게음식점	이디야(홍대청기와점)	서울특별시 마포구 서교동  351번지 5호  1층		126.9205503	37.5552837	커피숍
28	휴게음식점	와우 디비디	서울특별시 마포구 서교동  369번지 4호  6층		126.9213963	37.5525739	커피숍
29	휴게음식점	카페모인	서울특별시 마포구 동교동  200번지 28호		126.9225811	37.5577738	커피숍
30	휴게음식점	텀브커피	서울특별시 마포구 동교동  200번지 28호		126.9225811	37.5577738	커피숍
31	휴게음식점	할리스	서울특별시 마포구 동교동  183번지 1호  지하1층		126.9310304	37.5566423	커피숍
32	휴게음식점	이디야 홍대점	서울특별시 마포구 서교동  486번지  서교푸르지오 상가 지하138호		126.9235585	37.5537021	커피숍
33	휴게음식점	이디야 홍대점	서울특별시 마포구 서교동  486번지  서교푸르지오 상가 지하138호		126.9235585	37.5537021	커피숍
34	휴게음식점	할리스 동교점II	서울특별시 마포구 동교동  183번지 1호  2층		126.9310304	37.5566423	커피숍
35	휴게음식점	할리스 동교점	서울특별시 마포구 동교동  183번지 1호  1층		126.9312862	37.5567987	커피숍
36	휴게음식점	카페 세리오	서울특별시 마포구 서교동  392번지 4호		126.9155237	37.5510911	커피숍
