	업종명	업소명	소재지지번	법인명	longitude	latitude	업태명	index
105	휴게음식점	나이스인프라주식회사	서울특별시 영등포구 여의도동  15번지 28호  1층	나이스인프라주식회사	126.918717	37.52949100000001	커피숍	105
106	휴게음식점	파스쿠찌여의도영풍문고IFC점	서울특별시 영등포구 여의도동  23번지  영풍문고내지하 215호일부		126.9258273	37.5259791	커피숍	106
107	휴게음식점	투썸플레이스여의도씨지브이	서울특별시 영등포구 여의도동  23번지 1호  국제금융센터 B3F	씨제이씨지브이 주식회사	126.9261671	37.5254728	커피숍	107
108	휴게음식점	투썸플레이스여의도씨지브이	서울특별시 영등포구 여의도동  23번지 1호  국제금융센터 B3F	씨제이씨지브이(주)	126.9261671	37.5254728	커피숍	108
109	휴게음식점	씨제이제일제당올리브마켓	서울특별시 영등포구 여의도동  23번지  IFC몰 B3층 309호일부	씨제이 제일제당 주식회사	126.9252845	37.5249367	기타 휴게음식점	109
110	휴게음식점	씨제이제일제당올리브마켓	서울특별시 영등포구 여의도동  23번지  IFC몰 B3층 309호일부	씨제이제일제당(주)	126.9252845	37.5249367	기타 휴게음식점	110
111	휴게음식점	씨제이더마켓	서울특별시 영등포구 여의도동  23번지  IFC몰 B3층 309호일부	씨제이 제일제당 주식회사	126.9252845	37.5249367	기타 휴게음식점	111
112	휴게음식점	씨제이더마켓	서울특별시 영등포구 여의도동  23번지  IFC몰 B3층 309호일부	씨제이제일제당(주)	126.9252845	37.5249367	기타 휴게음식점	112
113	휴게음식점	스무디킹여의도IFC몰점	서울특별시 영등포구 여의도동  23번지  IFC몰 지하1층 151호	스무디킹코리아(주)	126.9252845	37.5249367	커피숍	113
114	휴게음식점	스무디킹여의도IFC몰점	서울특별시 영등포구 여의도동  23번지  IFC몰 지하1층 151호	스무디킹코리아(주)	126.9252845	37.5249367	커피숍	114
115	휴게음식점	(주)커피빈코리아 IFC MALL 2호점	서울특별시 영등포구 여의도동  23번지  IFC몰 지하2층-259	(주)커피빈코리아	126.9252845	37.5249367	커피숍	115
116	휴게음식점	쿰파(KUMFA)공익카페파구스케이비(KB)엔젤맘	서울특별시 영등포구 여의도동  10번지  세우빌딩 지하1층일부	한국미혼모가족협회	126.9262812	37.5300106	커피숍	116
117	휴게음식점	주스솔루션여의도IFC몰점	서울특별시 영등포구 여의도동  23번지  아이에프씨몰 지하3층	씨제이푸드빌주식회사	126.9252845	37.5249367	커피숍	117
