"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">수영구</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">페팽과자점</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.3</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">제주시</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">파리바게뜨 제주중앙점</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.4</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">마포구</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">카페</span>","<span jstcache=""126"">데코아발림</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.2</span>"
address,kind,name,score
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">산격동 1414-90번지 1층</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">디저트 전문점</span>","<span jstcache=""126"">타르트에반하다</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.3</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">마두동 719</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">크리스피파이</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.5</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">대현동 이화여대길 52-45</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">카페</span>","<span jstcache=""126"">카페페라 유니크</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.1</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">두암동 915-4</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">루에뜨</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.0</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">신흥2동 2465-7 상가 정문 제 104호</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">파이 전문점</span>","<span jstcache=""126"">예나파이yena's pie</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.3</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">클래 시아, 남부 순환로 2927, 108 호 대치, 대치동</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">김영모과자점 대치점</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.2</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">광장동 285-14</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">프랑스 제과점</span>","<span jstcache=""126"">JENY ANDY</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.5</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">공평동 동성로6길 25</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">카페</span>","<span jstcache=""126"">레베랑스 치즈타르트</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.0</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">서교동 372-9</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">카페</span>","<span jstcache=""126"">레드</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">5.0</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">방배2동 444-3</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">카페</span>","<span jstcache=""126"">Cafe Pera</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">3.4</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">방배동 444-3</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">식음료</span>","<span jstcache=""126"">카페페라클래식</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.4</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">식사동 386-16</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">디저트 전문점</span>","<span jstcache=""126"">달콤타르트</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">3.5</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">대봉동 31-28</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">마듀 김광석거리점</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">3.6</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">대현동 이화여대8길 2</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">커피숍/커피 전문점</span>","<span jstcache=""126"">Cafe Pera</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.7</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">고사동</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">디저트 전문점</span>","<span jstcache=""126"">DEUX SONS(듀숑)</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.2</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">대곡동 1038-1</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">행운의시간들</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.1</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">상수동 와우산로 59-1</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">스노브</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">3.9</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">중1동 중동1로 31</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">옵스 해운대점</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.1</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">장충동2가 202</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">패스트리부티크</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.0</span>"
